"id","created_at","text","feed_id","parent_comment_id","user_id"
1,2024-09-02 16:37:47.647,끝부분이 가늘고 납작해서 가늘게 잘 그려집니다. 가격은 3천원입니다.,1,,steve
2,2024-09-02 16:44:04.755,"가격은 각각 3천원입니다. 웜코랄은 발색이 잘 드러나는 애프리콧 코랄 색상이고, 쿨 라벤더는 피부톤 환하게 밝혀주는 화이티쉬 핑크라벤더 색상입니다..",2,,steve
3,2024-09-02 16:46:33.347,가격은 각각 5천원입니다. TAG가 투쿨포스쿨에서 다이소 납품용으로 만든 제품이라 퀄리티가 괜찮습니다.,3,,steve
4,2024-09-02 16:57:25.828,"기존 10,000원 이었던 상품이 6,960원으로 세일중입니다. 샌디드 블랙, 소프트 브라운, 뮤티드 브라운, 언더 베이지, 애쉬 모브, 다크 애쉬브라운 이렇게 7가지 색상이 있습니다.",4,,olive
5,2024-09-02 16:59:51.460,"기존 14,000원이었던 제품이 11,340원으로 세일중입니다. 색상은 애쉬 블랙, 애쉬 우드, 애쉬 브라운이 있습니다.",5,,olive
6,2024-09-02 17:01:06.123,좋은 정보 감사합니다.,5,,steve
7,2024-09-02 17:01:47.851,"저도 써봤는데, 소프트 브라운 색상이 좋더라고요.",4,,steve
8,2024-09-02 17:12:16.588,파셋네일은 9가지 단백질 성분을 함유하고 있기 때문에 손톱 건강까지 챙길 수 있다고 해요.,6,,nail
9,2024-09-02 17:13:35.141,파셋네일 폴리쉬 컬러는 총 84종으로 원하시는 색상을 잘 보고 구매하시면 될 것 같아요.,6,8,nail
10,2024-09-02 17:21:29.227,좋은 정보 감사합니다.,2,,tom
11,2024-09-02 17:21:58.970,우와! 색이 너무 예뻐요.,6,,tom
13,2024-09-02 17:27:59.406,스트로베리레드도 살짝 색이 강하기는 해도 예뻐요.,6,,rose
